,gene symbol,forebrain_10.5_rep1,forebrain_10.5_rep2,forebrain_11.5_rep1,forebrain_11.5_rep2,forebrain_12.5_rep1,forebrain_12.5_rep2,forebrain_13.5_rep1,forebrain_13.5_rep2,forebrain_14.5_rep1,forebrain_14.5_rep2,forebrain_15.5_rep1,forebrain_15.5_rep2,forebrain_16.5_rep1,forebrain_16.5_rep2,forebrain_p0_rep1,forebrain_p0_rep2
16288,Gm20890,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16290,Gm20894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16292,Gm20896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16293,Gm20897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16298,Gm20906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16299,Gm20909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16301,Gm20911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16303,Gm20914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16305,Gm20917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16306,Gm20918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16307,Gm20920,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16311,Gm20924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16318,Gm20931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16322,Gm20937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16375,Gm21083,0.0,0.0,0.0,0.0,0.0,0.027552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16380,Gm21094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047801,0.0,0.0,0.0,0.069439,0.0,0.0,0.0
16381,Gm21095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16382,Gm21103,0.0,0.0,0.0,0.0,0.060276,0.043743,0.0,0.0,0.0,0.0,0.0,0.020054,0.0,0.050985,0.046266,0.117631
16387,Gm21117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02048,0.0,0.027776,0.0,0.0,0.0
16388,Gm21118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16398,Gm21149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.080336,0.09778
16415,Gm21188,0.0,0.0,0.028107,0.0,0.0,0.023798,0.0,0.043154,0.0,0.0,0.0,0.077623,0.02868,0.033921,0.010297,0.023798
16416,Gm21190,0.0,0.0,0.0,0.0,0.0,0.0,0.03361,0.029795,0.0,0.0,0.0,0.0,0.0,0.051826,0.0,0.0
16419,Gm21209,0.0,0.0,0.0,0.0,0.0,0.0,0.100921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16424,Gm21244,0.097072,0.129489,0.148573,0.132849,0.16709,0.252346,0.121798,0.118877,0.0,0.095223,0.15534,0.192688,0.180852,0.090519,0.0,0.028485
16426,Gm21256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16428,Gm21258,0.0,0.0,0.0,0.0,0.0,0.0,0.100921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16439,Gm21292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16440,Gm21293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16441,Gm21294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16446,Gm21310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16447,Gm21312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062138,0.0,0.0,0.0,0.0,0.045377,0.0
16456,Gm21366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16465,Gm21394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16469,Gm21409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16471,Gm21411,0.109058,0.031228,0.100757,0.048555,0.039795,0.074567,0.04585,0.0,0.0,0.058319,0.0,0.0,0.0,0.068325,0.042819,0.055028
16474,Gm21425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16476,Gm21440,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16478,Gm21454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16485,Gm21497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16493,Gm21560,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026253,0.0,0.0,0.0,0.0,0.0,0.014652,0.0
16498,Gm21586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16503,Gm21627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16507,Gm21637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16510,Gm21650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16515,Gm21663,0.0,0.0,0.0,0.0,0.0,0.0,0.016956,0.0,0.023068,0.0,0.009795,0.0,0.0,0.059893,0.0,0.0
16516,Gm21671,0.041062,0.0,0.114788,0.0,0.011082,0.056268,0.0,0.0,0.0,0.0,0.02371,0.019609,0.06938,0.024375,0.092084,0.011572
16518,Gm21677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.206947,0.0,0.0,0.0,0.0,0.025233,0.0
16521,Gm21680,0.044182,0.012254,0.0,0.0,0.0,0.039182,0.0,0.023821,0.0,0.0,0.027252,0.0,0.06414,0.0,0.036934,0.0
16524,Gm21693,0.0,0.0,0.050375,0.0,0.0,0.06677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
